"Source: Inter-Parliamentary Union Open Data","","","","","","","","",""
"Date: 2023-08-09","","","","","","","","",""
"Ranking as of 1st January 2023","","","","","","","","",""
"","","","","","","","","",""
"Rank","Country","Lower or single House","","","","Upper chamber","","",""
"","","Elections","Seats*","Women","% W","Elections","Seats*","Women","% W"
"1","Rwanda","09.2018","80","49","61.3","09.2019","26","9","34.6"
"2","Cuba","03.2018","586","313","53.4","-","-","-","-"
"3","Nicaragua","11.2021","91","47","51.7","-","-","-","-"
"4","Mexico","06.2021","500","250","50","07.2018","127","64","50.4"
"“","New Zealand","10.2020","120","60","50","-","-","-","-"
"“","United Arab Emirates","10.2019","40","20","50","-","-","-","-"
"7","Iceland","09.2021","63","30","47.6","-","-","-","-"
"8","Costa Rica","02.2022","57","27","47.4","-","-","-","-"
"9","Andorra","04.2019","28","13","46.4","-","-","-","-"
"“","Sweden","09.2022","349","162","46.4","-","-","-","-"
"11","South Africa","05.2019","400","185","46.3","05.2019","54","24","44.4"
"12","Bolivia (Plurinational State of)","10.2020","130","60","46.2","10.2020","36","20","55.6"
"“","Norway","09.2021","169","78","46.2","-","-","-","-"
"14","Senegal","07.2022","165","76","46.1","-","-","-","-"
"15","Finland","04.2019","200","91","45.5","-","-","-","-"
"16","Argentina","11.2021","257","115","44.8","11.2021","72","31","43.1"
"17","Namibia","11.2019","104","46","44.2","12.2020","42","6","14.3"
"18","Denmark","11.2022","179","78","43.6","-","-","-","-"
"19","Mozambique","10.2019","250","108","43.2","-","-","-","-"
"20","Belgium","05.2019","150","64","42.7","07.2019","60","27","45"
"21","Spain","11.2019","349","148","42.4","11.2019","265","104","39.3"
"22","Cabo Verde","04.2021","72","30","41.7","-","-","-","-"
"“","North Macedonia","07.2020","120","50","41.7","-","-","-","-"
"“","Switzerland","10.2019","199","83","41.7","10.2019","45","13","28.9"
"25","Ethiopia","06.2021","472","195","41.3","10.2021","144","44","30.6"
"26","Netherlands","03.2021","150","61","40.7","05.2019","75","24","32"
"27","Austria","09.2019","183","74","40.4","-","61","25","41"
"28","Belarus","11.2019","110","44","40","11.2019","60","15","25"
"“","Timor-Leste","05.2018","65","26","40","-","-","-","-"
"30","Peru","04.2021","129","50","38.8","-","-","-","-"
"31","Ecuador","02.2021","137","53","38.7","-","-","-","-"
"32","Republic of Moldova","07.2021","101","39","38.6","-","-","-","-"
"33","Australia","05.2022","151","58","38.4","05.2022","76","43","56.6"
"34","Burundi","05.2020","123","47","38.2","07.2020","39","16","41"
"35","France","06.2022","577","218","37.8","09.2020","348","122","35.1"
"“","Slovenia","04.2022","90","34","37.8","11.2022","40","7","17.5"
"37","Dominica","12.2022","32","12","37.5","-","-","-","-"
"38","United Republic of Tanzania","10.2020","393","147","37.4","-","-","-","-"
"39","Guyana","03.2020","71","26","36.6","-","-","-","-"
"40","Monaco","02.2018","22","8","36.4","-","-","-","-"
"41","Portugal","01.2022","230","83","36.1","-","-","-","-"
"42","Albania","04.2021","140","50","35.7","-","-","-","-"
"43","Armenia","06.2021","107","38","35.5","-","-","-","-"
"“","Chile","11.2021","155","55","35.5","11.2021","50","12","24"
"45","Germany","09.2021","736","258","35.1","-","69","28","40.6"
"46","Luxembourg","10.2018","60","21","35","-","-","-","-"
"47","Serbia","04.2022","250","87","34.8","-","-","-","-"
"48","United Kingdom","12.2019","649","224","34.5","-","784","227","29"
"49","Cameroon","02.2020","180","61","33.9","03.2018","100","26","26"
"50","Uganda","01.2021","556","188","33.8","-","-","-","-"
"51","Angola","08.2022","220","74","33.6","-","-","-","-"
"“","Uzbekistan","12.2019","140","47","33.6","01.2020","90","22","24.4"
"53","San Marino","12.2019","60","20","33.3","-","-","-","-"
"54","Nepal","11.2022","275","91","33.1","01.2022","58","22","37.9"
"55","South Sudan","05.2021","550","178","32.4","08.2021","84","27","32.1"
"56","Italy","09.2022","400","129","32.3","09.2022","206","71","34.5"
"57","Croatia","07.2020","151","48","31.8","-","-","-","-"
"58","Grenada","06.2022","16","5","31.3","08.2022","13","4","30.8"
"“","Saint Kitts and Nevis","08.2022","16","5","31.3","-","-","-","-"
"60","Equatorial Guinea","11.2022","100","31","31","11.2022","74","16","21.6"
"61","Canada","09.2021","336","103","30.7","-","93","48","51.6"
"“","Niger","12.2020","166","51","30.7","-","-","-","-"
"63","Zimbabwe","07.2018","265","81","30.6","07.2018","77","34","44.2"
"64","Viet Nam","05.2021","499","151","30.3","-","-","-","-"
"65","Guinea","01.2022","81","24","29.6","-","-","-","-"
"66","Suriname","05.2020","51","15","29.4","-","-","-","-"
"“","United States of America","11.2022","435","128","29.4","11.2022","100","25","25"
"68","Singapore","07.2020","103","30","29.1","-","-","-","-"
"69","Latvia","10.2022","100","29","29","-","-","-","-"
"70","Colombia","03.2022","187","54","28.9","03.2022","106","32","30.2"
"“","Iraq","10.2021","329","95","28.9","-","-","-","-"
"72","Jamaica","09.2020","63","18","28.6","09.2020","21","8","38.1"
"“","Mali","12.2020","147","42","28.6","-","-","-","-"
"“","Trinidad and Tobago","08.2020","42","12","28.6","08.2020","31","12","38.7"
"75","Lithuania","10.2020","141","40","28.4","-","-","-","-"
"“","Montenegro","08.2020","81","23","28.4","-","-","-","-"
"77","Poland","10.2019","460","130","28.3","10.2019","100","24","24"
